Title,Published_date,Views,Likes,Comments,Month
Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1834,98,27,Jul
Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,27791,553,90,Jul
Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,273506,6340,400,Jul
Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,29492,1099,120,Jul
Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3548,134,50,Jul
The Best Computer for Data Science Beginners,2020-07-10,35198,815,157,Jul
Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6061,227,82,Jul
Critiquing MY OWN Data Science Resume,2020-07-06,12379,391,90,Jul
Where to Start Learning Data Science,2020-07-03,18241,770,126,Jul
"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,3989,196,37,Jul
Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4482,176,54,Jun
How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,15513,540,79,Jun
Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2352,82,40,Jun
"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2371,138,49,Jun
Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4233,165,46,Jun
Why You're Struggling to Learn Data Science,2020-06-12,15075,1006,160,Jun
Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,10630,326,70,Jun
The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,22119,657,147,Jun
Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5656,156,53,Jun
How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,62688,2010,262,May
Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20891,488,81,May
Different Data Science Roles Explained (by a Data Scientist),2020-05-22,51634,1839,176,May
Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11128,178,55,May
How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,108007,3881,192,May
10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3092,146,115,May
Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4397,152,74,May
How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1377402,48745,1999,May
Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5306,191,42,May
What You Need to Know for a Data Science Internship,2020-05-01,18874,1088,61,May
Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8165,347,54,Apr
